Path:	
C:\Users\kastriots\Google Drive\Measurement data\Hanchi_Ref3_11609.txt	

Owner:	
Robert Jones	

Description:	
	
-----------------------------------------------------------------	


X - Axis	Y - Axis
	
510.00000000	-0.00042725
520.00000000	-0.00041962
530.00000000	-0.00040436
540.00000000	-0.00039673
550.00000000	-0.00040436
560.00000000	-0.00041199
570.00000000	-0.00042725
580.00000000	-0.00042725
590.00000000	-0.00044251
600.00000000	-0.00043488
610.00000000	-0.00043488
620.00000000	-0.00043488
630.00000000	-0.00047302
640.00000000	-0.00048828
650.00000000	-0.00051117
660.00000000	-0.00052643
670.00000000	-0.00053406
680.00000000	-0.00053406
690.00000000	-0.00055695
700.00000000	-0.00057984
710.00000000	-0.00061799
720.00000000	-0.00064087
730.00000000	-0.00067139
740.00000000	-0.00067902
750.00000000	-0.00070191
760.00000000	-0.00070191
770.00000000	-0.00069428
780.00000000	-0.00068665
790.00000000	-0.00064850
800.00000000	-0.00064087
810.00000000	-0.00052643
820.00000000	-0.00037384
830.00000000	0.00000763
840.00000000	0.00031281
850.00000000	0.00137330
860.00000000	0.00202943
870.00000000	0.00445560
880.00000000	0.00605014
890.00000000	0.01079570
900.00000000	0.01380930
910.00000000	0.02083600
920.00000000	0.02418530
930.00000000	0.03020490
940.00000000	0.03076180
950.00000000	0.02658860
960.00000000	0.02122510
970.00000000	0.00617984
980.00000000	-0.00102235
990.00000000	-0.01310740
1000.00000000	-0.01570140
1010.00000000	-0.01770030
1020.00000000	-0.01700600
1030.00000000	-0.01583110
1040.00000000	-0.01537330
1050.00000000	-0.01419840
1060.00000000	-0.01315310
1070.00000000	-0.01013190
1080.00000000	-0.00847632
1090.00000000	-0.00567630
1100.00000000	-0.00532535
1110.00000000	-0.00496677
1120.00000000	-0.00470737
1130.00000000	-0.00307466
1140.00000000	-0.00197603
1150.00000000	0.00043488
1160.00000000	0.00064850
1170.00000000	-0.00098420
1180.00000000	-0.00301363
1190.00000000	-0.00788122
1200.00000000	-0.00939947
1210.00000000	-0.01004030
1220.00000000	-0.00833136
1230.00000000	-0.00285341
1240.00000000	0.00024414
1250.00000000	0.00522617
1260.00000000	0.00571445
1270.00000000	0.00360872
1280.00000000	0.00151826
1290.00000000	-0.00232698
1300.00000000	-0.00286867
1310.00000000	-0.00221254
1320.00000000	-0.00159455
1330.00000000	-0.00053406
1340.00000000	-0.00067139
1350.00000000	-0.00135041
1360.00000000	-0.00141145
1370.00000000	-0.00064087
1380.00000000	0.00016022
1390.00000000	0.00189973
1400.00000000	0.00221254
1410.00000000	0.00202943
1420.00000000	0.00165559
1430.00000000	0.00066376
1440.00000000	0.00012207
1450.00000000	-0.00139619
1460.00000000	-0.00219728
1470.00000000	-0.00354005
1480.00000000	-0.00365449
1490.00000000	-0.00299074
1500.00000000	-0.00200655
1510.00000000	0.00110627
1520.00000000	0.00246431
1530.00000000	0.00431827
1540.00000000	0.00398257
1550.00000000	0.00186921
1560.00000000	0.00042725
1570.00000000	-0.00220491
1580.00000000	-0.00229646
1590.00000000	-0.00074005
1600.00000000	0.00073243
1610.00000000	0.00343324
1620.00000000	0.00384523
1630.00000000	0.00325014
1640.00000000	0.00253297
1650.00000000	0.00111390
1660.00000000	0.00075531
1670.00000000	0.00009918
1680.00000000	-0.00041199
1690.00000000	-0.00165559
1700.00000000	-0.00216676
1710.00000000	-0.00223543
1720.00000000	-0.00160981
1730.00000000	-0.00012207
1740.00000000	0.00007629
1750.00000000	-0.00044251
1760.00000000	-0.00084687
1770.00000000	-0.00123597
1780.00000000	-0.00095368
1790.00000000	-0.00018311
1800.00000000	0.00009918
1810.00000000	0.00094605
1820.00000000	0.00147248
1830.00000000	0.00298311
1840.00000000	0.00347902
1850.00000000	0.00347902
1860.00000000	0.00269319
1870.00000000	0.00000000
1880.00000000	-0.00106049
1890.00000000	-0.00239564
1900.00000000	-0.00212099
1910.00000000	-0.00080109
1920.00000000	-0.00016785
1930.00000000	0.00059510
1940.00000000	0.00066376
1950.00000000	0.00048065
1960.00000000	0.00013733
1970.00000000	-0.00085450
1980.00000000	-0.00131989
1990.00000000	-0.00122071
2000.00000000	-0.00068665
2010.00000000	-0.00044251
2020.00000000	-0.00036621
2030.00000000	-0.00057221
2040.00000000	-0.00093842
2050.00000000	-0.00089264
2060.00000000	-0.00025940
2070.00000000	0.00038147
2080.00000000	0.00173188
2090.00000000	0.00205232
2100.00000000	0.00168610
2110.00000000	0.00107575
2120.00000000	-0.00048828
2130.00000000	-0.00080872
2140.00000000	-0.00058747
2150.00000000	-0.00017548
2160.00000000	0.00053406
2170.00000000	0.00054169
2180.00000000	-0.00011444
2190.00000000	-0.00057984
2200.00000000	-0.00153352
2210.00000000	-0.00158692
2220.00000000	-0.00091553
2230.00000000	-0.00026703
2240.00000000	0.00086976
2250.00000000	0.00105286
2260.00000000	0.00041199
2270.00000000	-0.00017548
2280.00000000	-0.00180054
2290.00000000	-0.00216676
2300.00000000	-0.00238039
2310.00000000	-0.00226595
2320.00000000	-0.00235750
2330.00000000	-0.00254060
2340.00000000	-0.00228883
2350.00000000	-0.00135804
2360.00000000	0.00158692
2370.00000000	0.00292970
2380.00000000	0.00416568
2390.00000000	0.00343324
2400.00000000	0.00099183
2410.00000000	-0.00011444
